Track Name,Album,Release Date,Popularity,Duration (minutes)
"Agar Tum Saath Ho (From ""Tamasha"")",A.R. Rahman All Time Favourites,2022-06-16,47,5.684233333333333
Tere Bina,Guru (Original Motion Picture Soundtrack),2006-09-11,69,5.160666666666667
"Jaane Tu (From ""Chhaava"")",Chhaava (Original Motion Picture Soundtrack),2025-02-13,55,4.74535
Kun Faya Kun,Rockstar,2011-10-01,67,7.841666666666667
"Yennai Izhukkuthadi (From ""Kadhalikka Neramillai"")","Yennai Izhukkuthadi (From ""Kadhalikka Neramillai"")",2024-11-22,67,3.8132
"Kabhi Kabhi Aditi (From ""Jaane Tu... Ya Jaane Na"")",A.R. Rahman All Time Favourites,2022-06-16,43,3.647266666666667
"Tum Tak (From ""Raanjhanaa"")",Raanjhanaa (Original Motion Picture Soundtrack),2013-05-31,67,5.074433333333333
"Rait Zara Si (From ""Atrangi Re"")","Rait Zara Si (From ""Atrangi Re"")",2021-12-06,66,4.8577
Maahi Ve,Highway,2014-01-22,66,4.013066666666667
"Water Packet (From ""Raayan"")","Water Packet (From ""Raayan"")",2024-05-24,64,4.100033333333333
